epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,6227.77,0.68789,3.22737,0.29345,0.42828,1.10323,0.96856,0.97752,0.99064,0.88891,0.86817,0.81318,0.83713,0.68925,0.563,1.9596,0.05797,0.28855,0.98486,0.00843851,0.00843851,0.00843851
28,6417.33,0.68583,3.20325,0.28879,0.42746,1.09975,0.9711,0.97645,0.99051,0.88918,0.8627,0.82758,0.8455,0.69604,0.55638,1.93707,0.05589,0.28587,0.9826,0.00832349,0.00832349,0.00832349
29,6607.12,0.67906,3.16761,0.28705,0.42644,1.09903,0.97205,0.97757,0.9904,0.89189,0.85188,0.81713,0.82674,0.68196,0.55314,2.00217,0.05601,0.28373,0.9799,0.00820525,0.00820525,0.00820525
30,6796.67,0.6755,3.15204,0.2828,0.41958,1.09771,0.97084,0.97655,0.99036,0.89287,0.86287,0.82452,0.84352,0.70056,0.55152,1.93493,0.05439,0.28129,0.97856,0.00808389,0.00808389,0.00808389
31,6986.13,0.67398,3.09332,0.27894,0.41875,1.09671,0.97098,0.97634,0.99053,0.89387,0.86629,0.83804,0.85689,0.70923,0.54634,1.86972,0.05361,0.27785,0.97215,0.00795954,0.00795954,0.00795954
32,7175.89,0.66885,3.05305,0.27599,0.41247,1.09117,0.97193,0.97515,0.99055,0.89375,0.86744,0.82567,0.84669,0.70586,0.54188,1.89084,0.05226,0.27568,0.97243,0.00783231,0.00783231,0.00783231
33,7365.56,0.667,3.07093,0.27549,0.41079,1.08876,0.97138,0.97739,0.99048,0.89349,0.87004,0.84036,0.8572,0.7118,0.54195,1.83033,0.05305,0.27569,0.97294,0.00770234,0.00770234,0.00770234
34,7554.87,0.66141,3.00851,0.27032,0.40947,1.08635,0.97455,0.97655,0.99079,0.89477,0.86521,0.83968,0.85356,0.71009,0.53737,1.8302,0.05133,0.27335,0.96681,0.00756976,0.00756976,0.00756976
35,7744.5,0.66273,3.00764,0.27046,0.40883,1.08771,0.97351,0.97876,0.99089,0.89698,0.87283,0.8379,0.85771,0.71595,0.53448,1.81293,0.05117,0.26967,0.96556,0.00743468,0.00743468,0.00743468
36,7933.91,0.6563,2.97557,0.26546,0.40684,1.08343,0.97254,0.97932,0.9908,0.89727,0.87069,0.83777,0.8588,0.71781,0.53,1.81616,0.05002,0.2695,0.96263,0.00729725,0.00729725,0.00729725
37,8123.43,0.65098,2.93408,0.26459,0.39992,1.08327,0.97229,0.97913,0.99104,0.89998,0.87243,0.83892,0.86249,0.72356,0.52571,1.78365,0.04984,0.2659,0.95894,0.00715761,0.00715761,0.00715761
38,8312.86,0.65361,2.89835,0.26158,0.4005,1.08118,0.97328,0.97937,0.99095,0.89971,0.8714,0.84032,0.85717,0.72291,0.52435,1.79785,0.04913,0.2651,0.95847,0.00701588,0.00701588,0.00701588
39,8502.43,0.64701,2.85148,0.26023,0.39929,1.08109,0.9731,0.97923,0.99099,0.9002,0.86959,0.84096,0.85767,0.72683,0.52319,1.77977,0.04818,0.26137,0.95773,0.00687222,0.00687222,0.00687222
40,8692.12,0.64119,2.8384,0.25618,0.39535,1.07808,0.97352,0.97999,0.99088,0.90091,0.87179,0.84019,0.85828,0.72784,0.52144,1.77409,0.04714,0.26078,0.95631,0.00672675,0.00672675,0.00672675
41,8881.5,0.64101,2.81863,0.25356,0.39457,1.07652,0.9743,0.98025,0.99127,0.90078,0.87036,0.8407,0.86134,0.73094,0.51875,1.7621,0.04607,0.25931,0.95459,0.00657963,0.00657963,0.00657963
42,9071.01,0.64083,2.77634,0.25068,0.39086,1.07308,0.9756,0.97897,0.9911,0.90185,0.87271,0.83841,0.86285,0.73406,0.51693,1.75589,0.04561,0.2589,0.95361,0.00643101,0.00643101,0.00643101
43,9260.78,0.63639,2.77559,0.25058,0.39158,1.07622,0.97474,0.97974,0.99116,0.90216,0.87424,0.84134,0.86631,0.73733,0.51549,1.73724,0.04537,0.25892,0.95249,0.00628101,0.00628101,0.00628101
44,9450.39,0.63472,2.74166,0.24891,0.38681,1.07208,0.97621,0.98037,0.99122,0.90345,0.87366,0.8478,0.87022,0.74272,0.51411,1.71598,0.04501,0.25675,0.95109,0.00612981,0.00612981,0.00612981
45,9640.03,0.63004,2.72251,0.24781,0.38688,1.06795,0.97648,0.98088,0.99111,0.90504,0.87715,0.84987,0.8727,0.74552,0.51294,1.69242,0.04448,0.25558,0.94989,0.00597754,0.00597754,0.00597754
46,9829.45,0.6241,2.671,0.24671,0.38439,1.06639,0.97385,0.98243,0.99116,0.90546,0.881,0.85064,0.87413,0.74649,0.51142,1.68217,0.04412,0.25384,0.94894,0.00582435,0.00582435,0.00582435
47,10019.1,0.624,2.66699,0.24253,0.37851,1.06697,0.97395,0.98156,0.99116,0.90564,0.88252,0.85198,0.87834,0.74858,0.51078,1.66845,0.04325,0.25297,0.94856,0.0056704,0.0056704,0.0056704
48,10208.8,0.6194,2.63124,0.24159,0.3788,1.06893,0.97339,0.98267,0.99125,0.9068,0.88152,0.85306,0.87893,0.74924,0.50911,1.66337,0.04263,0.25153,0.9474,0.00551584,0.00551584,0.00551584
49,10398.3,0.6153,2.59366,0.23976,0.37249,1.06253,0.97251,0.98299,0.99124,0.9077,0.88332,0.85485,0.88117,0.75188,0.50778,1.65615,0.04218,0.25053,0.9467,0.00536081,0.00536081,0.00536081
50,10587.7,0.61661,2.61738,0.23964,0.37397,1.06404,0.97309,0.98343,0.99129,0.90845,0.88342,0.85625,0.88259,0.75362,0.50614,1.6508,0.04194,0.24936,0.94569,0.00520548,0.00520548,0.00520548
51,10777.1,0.61746,2.59887,0.23843,0.37299,1.0652,0.97414,0.98292,0.99132,0.90895,0.88681,0.85383,0.88233,0.75493,0.50469,1.64263,0.04173,0.24816,0.94457,0.00505,0.00505,0.00505
52,10966.5,0.6102,2.555,0.2339,0.36854,1.05846,0.97483,0.9819,0.99128,0.90996,0.88702,0.85642,0.88363,0.75645,0.50286,1.63831,0.0413,0.24704,0.94318,0.00489452,0.00489452,0.00489452
53,11156.2,0.60471,2.529,0.23481,0.36678,1.05676,0.97508,0.98235,0.99126,0.91023,0.88905,0.85612,0.88418,0.75842,0.50125,1.62964,0.04105,0.24667,0.94196,0.00473919,0.00473919,0.00473919
54,11345.7,0.59865,2.47009,0.23212,0.36067,1.05422,0.97521,0.98178,0.99131,0.91027,0.88464,0.86096,0.88434,0.76012,0.49985,1.62101,0.04068,0.24585,0.94124,0.00458416,0.00458416,0.00458416
55,11533.4,0.60156,2.48941,0.23208,0.36421,1.05554,0.97493,0.98127,0.99139,0.91069,0.89357,0.85484,0.88555,0.761,0.49852,1.61567,0.04042,0.24535,0.94065,0.0044296,0.0044296,0.0044296
56,11721.2,0.59728,2.45669,0.22915,0.3645,1.05577,0.97497,0.98088,0.99144,0.91113,0.89493,0.8551,0.88585,0.76186,0.49752,1.60849,0.04024,0.24485,0.94,0.00427565,0.00427565,0.00427565
57,11908.8,0.59419,2.42912,0.22903,0.35755,1.0529,0.97512,0.98063,0.99146,0.91123,0.89149,0.85778,0.88565,0.7624,0.49617,1.60412,0.03998,0.24416,0.93919,0.00412246,0.00412246,0.00412246
58,12096.4,0.59095,2.40141,0.22546,0.35452,1.05046,0.97492,0.98068,0.99149,0.91144,0.89038,0.86148,0.88625,0.76297,0.49528,1.59957,0.03975,0.24371,0.93866,0.00397019,0.00397019,0.00397019
59,12284.2,0.58492,2.36588,0.22308,0.35514,1.04802,0.97557,0.98025,0.99146,0.91149,0.89089,0.86109,0.88828,0.76377,0.49424,1.59543,0.03942,0.24345,0.93802,0.00381899,0.00381899,0.00381899
60,12471.8,0.57893,2.33646,0.22187,0.35037,1.0449,0.97748,0.97901,0.99148,0.9118,0.89196,0.86065,0.88985,0.76487,0.49347,1.59213,0.03915,0.24322,0.93757,0.00366899,0.00366899,0.00366899
61,12659.4,0.5751,2.30029,0.22039,0.34853,1.04094,0.97723,0.97913,0.99149,0.91183,0.8916,0.86109,0.88937,0.7653,0.49292,1.58774,0.03896,0.24271,0.93729,0.00352037,0.00352037,0.00352037
62,12850.5,0.57626,2.30897,0.22203,0.34719,1.0426,0.97748,0.97927,0.99151,0.91182,0.89214,0.86173,0.89048,0.76631,0.49181,1.58291,0.03879,0.24245,0.93669,0.00337325,0.00337325,0.00337325
63,13037.9,0.57718,2.27807,0.21942,0.34414,1.04461,0.97749,0.97953,0.99153,0.91191,0.89069,0.86291,0.89051,0.76661,0.49057,1.57816,0.0385,0.24177,0.93578,0.00322778,0.00322778,0.00322778
64,13237.9,0.56761,2.23922,0.21866,0.34149,1.03851,0.97798,0.97898,0.99153,0.91195,0.89297,0.8623,0.89102,0.76692,0.48989,1.57442,0.0383,0.24107,0.93534,0.00308412,0.00308412,0.00308412
65,13439.6,0.56858,2.23577,0.21857,0.34205,1.03935,0.97823,0.97917,0.99153,0.91209,0.89449,0.86324,0.89185,0.76765,0.48939,1.57103,0.03812,0.24042,0.93515,0.00294239,0.00294239,0.00294239
66,13641.1,0.56334,2.19931,0.21526,0.33751,1.03672,0.97835,0.97911,0.99152,0.91279,0.89424,0.86421,0.89258,0.76834,0.48884,1.56738,0.03794,0.2402,0.93485,0.00280275,0.00280275,0.00280275
