epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,7302.01,0.7158,3.60069,0.3134,0.4607,1.07308,0.9678,0.97656,0.98989,0.8791,0.85253,0.79737,0.81166,0.65272,0.57921,2.14217,0.07032,0.30159,0.93061,0.007426,0.007426,0.007426
28,7494.23,0.71341,3.59209,0.30945,0.45701,1.07024,0.96926,0.9754,0.98999,0.87947,0.85158,0.80068,0.81195,0.65564,0.5743,2.12841,0.0689,0.30365,0.92858,0.007327,0.007327,0.007327
29,8906.75,0.70977,3.60473,0.30885,0.45634,1.06963,0.97279,0.97375,0.99005,0.88222,0.8432,0.80455,0.81563,0.66154,0.57745,2.15102,0.06828,0.29752,0.92623,0.007228,0.007228,0.007228
30,11531.4,0.7058,3.56054,0.30533,0.45261,1.06826,0.97049,0.97528,0.99057,0.88307,0.84436,0.80528,0.81386,0.6605,0.56881,2.10459,0.06521,0.29469,0.9242,0.007129,0.007129,0.007129
31,12737.5,0.70228,3.51933,0.30066,0.44996,1.06717,0.97385,0.97388,0.99044,0.88562,0.8628,0.81483,0.83155,0.6728,0.56595,2.02659,0.0655,0.29171,0.92146,0.00703,0.00703,0.00703
32,14497.2,0.69878,3.48046,0.29799,0.44461,1.0634,0.97423,0.97388,0.99028,0.88553,0.84869,0.81056,0.82419,0.67064,0.56611,2.0618,0.06362,0.29097,0.92358,0.006931,0.006931,0.006931
33,15735.5,0.69571,3.46783,0.29747,0.44349,1.06094,0.97107,0.97591,0.98986,0.88644,0.85166,0.81534,0.82746,0.67305,0.56182,2.03807,0.0629,0.28515,0.92027,0.006832,0.006832,0.006832
34,16865.5,0.68901,3.43711,0.29308,0.43938,1.05878,0.97334,0.97703,0.99081,0.88985,0.85679,0.82343,0.84142,0.68567,0.55914,1.99699,0.06219,0.28459,0.92011,0.006733,0.006733,0.006733
35,17663.5,0.69478,3.4188,0.2936,0.441,1.06198,0.97269,0.97681,0.99062,0.88824,0.85877,0.82095,0.83778,0.68367,0.55862,1.98716,0.06162,0.28499,0.92012,0.006634,0.006634,0.006634
36,17854.8,0.68557,3.40763,0.28881,0.43667,1.05743,0.97189,0.97591,0.99047,0.89014,0.85579,0.82204,0.8397,0.68751,0.55467,1.97845,0.06134,0.28347,0.91736,0.006535,0.006535,0.006535
37,18043.4,0.68373,3.36869,0.28766,0.43313,1.0567,0.97285,0.97738,0.99048,0.89156,0.8615,0.82694,0.84593,0.69566,0.54935,1.94968,0.05961,0.28233,0.91393,0.006436,0.006436,0.006436
38,18233.5,0.68283,3.37341,0.28504,0.43469,1.05551,0.97194,0.97563,0.99051,0.89156,0.86049,0.82772,0.84579,0.69471,0.54608,1.93232,0.05897,0.28108,0.91203,0.006337,0.006337,0.006337
39,18423.8,0.68115,3.31916,0.28433,0.43266,1.0573,0.9753,0.97515,0.99052,0.89225,0.85858,0.83025,0.84455,0.6952,0.54393,1.93245,0.05711,0.27878,0.91131,0.006238,0.006238,0.006238
40,18616.2,0.67486,3.27132,0.28032,0.42815,1.05258,0.97152,0.9777,0.99049,0.89224,0.85635,0.83038,0.84301,0.69409,0.54273,1.93284,0.05706,0.2791,0.91143,0.006139,0.006139,0.006139
41,18809.3,0.67658,3.28561,0.27838,0.43089,1.05417,0.97026,0.9777,0.9904,0.893,0.85893,0.82592,0.8421,0.69387,0.54043,1.9227,0.05664,0.27738,0.90999,0.00604,0.00604,0.00604
42,18999.1,0.67485,3.2695,0.27496,0.42688,1.05127,0.96834,0.97842,0.9905,0.893,0.86049,0.83082,0.8478,0.6997,0.54028,1.90267,0.05648,0.27625,0.91035,0.005941,0.005941,0.005941
43,19189.2,0.67388,3.26095,0.27392,0.42756,1.05324,0.96846,0.97936,0.99072,0.89328,0.85803,0.83191,0.84503,0.6981,0.53862,1.89875,0.05537,0.27544,0.90908,0.005842,0.005842,0.005842
44,19378,0.67309,3.23414,0.27233,0.42399,1.05241,0.97032,0.97808,0.99069,0.89441,0.86153,0.83522,0.85093,0.7011,0.53699,1.87967,0.05445,0.27386,0.90777,0.005743,0.005743,0.005743
45,19566.4,0.66501,3.20012,0.27152,0.42254,1.04779,0.97152,0.97693,0.99079,0.89614,0.86623,0.83293,0.85278,0.70407,0.53451,1.86968,0.05405,0.27154,0.90575,0.005644,0.005644,0.005644
46,19756.1,0.6656,3.17757,0.2708,0.42382,1.04851,0.97113,0.97743,0.99102,0.89688,0.86359,0.83499,0.85356,0.70707,0.53377,1.86302,0.05363,0.27107,0.90535,0.005545,0.005545,0.005545
47,19947.1,0.66332,3.18081,0.26682,0.41851,1.04765,0.97123,0.9765,0.99084,0.89661,0.8603,0.83752,0.85341,0.70864,0.53244,1.85796,0.05326,0.2698,0.90492,0.005446,0.005446,0.005446
48,20137.9,0.6602,3.13887,0.2651,0.41781,1.04984,0.97219,0.97693,0.99078,0.89783,0.85979,0.84167,0.85491,0.70982,0.53101,1.84906,0.05283,0.26872,0.90429,0.005347,0.005347,0.005347
49,20329.9,0.65686,3.1223,0.26282,0.41449,1.04374,0.9721,0.97808,0.99079,0.89888,0.86067,0.8423,0.85743,0.71382,0.53,1.8401,0.05207,0.26787,0.90374,0.005248,0.005248,0.005248
50,20521.1,0.6587,3.13504,0.26267,0.41657,1.04576,0.9723,0.97821,0.99077,0.89906,0.86312,0.84351,0.85948,0.71637,0.52989,1.83298,0.05171,0.26766,0.90386,0.005149,0.005149,0.005149
51,20711.5,0.66049,3.10859,0.26117,0.41662,1.04583,0.97312,0.97815,0.99084,0.89926,0.86381,0.84491,0.86007,0.71734,0.52911,1.82353,0.05133,0.26692,0.90361,0.00505,0.00505,0.00505
52,20903.1,0.6526,3.02117,0.25709,0.40732,1.04066,0.97345,0.97885,0.9909,0.89956,0.86501,0.84518,0.86078,0.71783,0.52803,1.81833,0.05092,0.26622,0.90267,0.004951,0.004951,0.004951
53,21094.1,0.64784,2.96542,0.25969,0.40714,1.03961,0.97446,0.97923,0.99098,0.89995,0.86876,0.84453,0.86259,0.71928,0.52736,1.80983,0.05079,0.26595,0.90226,0.004852,0.004852,0.004852
54,21285.1,0.64402,2.91019,0.25682,0.40179,1.03621,0.97462,0.97878,0.9909,0.89951,0.86816,0.84507,0.86419,0.72102,0.52684,1.80475,0.05061,0.26498,0.90204,0.004753,0.004753,0.004753
55,21475.3,0.64878,2.93346,0.25694,0.40788,1.04187,0.97359,0.97936,0.99088,0.89988,0.86728,0.84522,0.86431,0.72218,0.52617,1.8026,0.05047,0.26474,0.90191,0.004654,0.004654,0.004654
56,21665.2,0.64385,2.88023,0.25416,0.40609,1.0408,0.97297,0.97961,0.99082,0.90031,0.86821,0.84886,0.86727,0.72363,0.52546,1.79519,0.05043,0.26452,0.90157,0.004555,0.004555,0.004555
57,21854.5,0.64033,2.85503,0.25561,0.39894,1.03856,0.97321,0.97999,0.99082,0.90043,0.86863,0.85039,0.86813,0.72479,0.52507,1.78804,0.05025,0.26381,0.90126,0.004456,0.004456,0.004456
58,22044,0.64466,2.86396,0.25087,0.39907,1.03834,0.97275,0.98063,0.9908,0.90064,0.8692,0.85128,0.86876,0.72537,0.52438,1.78312,0.04992,0.26301,0.90083,0.004357,0.004357,0.004357
59,22235.3,0.63436,2.81512,0.24845,0.3973,1.0355,0.97287,0.98063,0.99085,0.90094,0.8704,0.85268,0.86987,0.72656,0.52394,1.78003,0.04954,0.26253,0.90069,0.004258,0.004258,0.004258
60,22427,0.63429,2.79167,0.2488,0.3935,1.03387,0.9733,0.98022,0.99084,0.90132,0.87026,0.85311,0.86969,0.72708,0.52299,1.77678,0.0494,0.26217,0.90011,0.004159,0.004159,0.004159
61,22621.2,0.62997,2.75126,0.24605,0.39408,1.03073,0.97355,0.98041,0.99089,0.90157,0.87079,0.85345,0.87018,0.72732,0.52241,1.77461,0.04905,0.26176,0.89971,0.00406,0.00406,0.00406
62,22815.7,0.63184,2.78378,0.24705,0.39405,1.03189,0.97353,0.97971,0.99088,0.90147,0.87031,0.85357,0.87029,0.72777,0.52183,1.77161,0.04879,0.26156,0.89941,0.003961,0.003961,0.003961
63,23006.5,0.63247,2.74551,0.24554,0.39468,1.03515,0.97351,0.97892,0.99089,0.90172,0.87073,0.85322,0.87006,0.72784,0.52151,1.76776,0.04866,0.2612,0.89918,0.003862,0.003862,0.003862
64,23197.7,0.62852,2.7214,0.24473,0.39091,1.03163,0.97364,0.97912,0.99094,0.90179,0.87124,0.85383,0.8705,0.72881,0.52093,1.76345,0.04848,0.26064,0.89876,0.003763,0.003763,0.003763
65,23405.1,0.6268,2.7183,0.24468,0.39025,1.03223,0.97388,0.97896,0.99099,0.9018,0.872,0.85434,0.8711,0.72897,0.52073,1.75957,0.04833,0.26007,0.89868,0.003664,0.003664,0.003664
66,23632.5,0.62147,2.68092,0.24205,0.38802,1.02732,0.97417,0.97872,0.99098,0.90185,0.87212,0.85447,0.87125,0.72959,0.52052,1.75788,0.0482,0.25939,0.89861,0.003565,0.003565,0.003565
67,23853.7,0.6228,2.68794,0.24236,0.38994,1.03026,0.97449,0.97863,0.99103,0.90189,0.87511,0.85364,0.87182,0.73011,0.52003,1.75429,0.04809,0.25917,0.8983,0.003466,0.003466,0.003466
68,24073.7,0.62382,2.69047,0.24042,0.3909,1.02914,0.97474,0.97852,0.991,0.90243,0.87554,0.85342,0.87188,0.73056,0.51943,1.75258,0.04804,0.25868,0.89796,0.003367,0.003367,0.003367
69,24273.6,0.61108,2.65187,0.23999,0.38142,1.02403,0.97486,0.97837,0.99104,0.90248,0.87633,0.85427,0.87236,0.73139,0.51879,1.74881,0.04786,0.25824,0.89763,0.003268,0.003268,0.003268
70,24449.9,0.61607,2.64345,0.23935,0.38329,1.02511,0.97503,0.97834,0.99103,0.9027,0.87744,0.85459,0.87365,0.73215,0.51827,1.74554,0.04768,0.25796,0.89737,0.003169,0.003169,0.003169
71,24606.6,0.61373,2.61991,0.23829,0.3814,1.02654,0.97509,0.97846,0.991,0.90269,0.87714,0.85498,0.87524,0.73274,0.51764,1.74291,0.04753,0.25741,0.897,0.00307,0.00307,0.00307
72,24755.9,0.6051,2.56282,0.23653,0.37292,1.0215,0.97475,0.97891,0.99105,0.90292,0.87722,0.85499,0.87544,0.73292,0.51698,1.74059,0.0474,0.25707,0.89668,0.002971,0.002971,0.002971
73,24901,0.61055,2.5887,0.23559,0.37574,1.02455,0.97486,0.9785,0.99107,0.90323,0.87782,0.85516,0.87628,0.73323,0.5165,1.73742,0.04724,0.2567,0.89641,0.002872,0.002872,0.002872
74,25042,0.60493,2.55751,0.23471,0.37251,1.0207,0.97475,0.97893,0.99106,0.90314,0.87805,0.85606,0.87731,0.73424,0.51611,1.73503,0.04708,0.25639,0.89618,0.002773,0.002773,0.002773
75,25182.9,0.60214,2.5377,0.23393,0.37283,1.01929,0.97491,0.97872,0.99109,0.9034,0.87779,0.8558,0.8775,0.7344,0.51561,1.73231,0.04701,0.25596,0.89597,0.002674,0.002674,0.002674
76,25323.7,0.5997,2.49524,0.2312,0.36983,1.01982,0.97476,0.97944,0.99115,0.90397,0.87788,0.85567,0.8775,0.73507,0.51523,1.72887,0.04688,0.25559,0.89577,0.002575,0.002575,0.002575
77,25464.6,0.59832,2.52505,0.23305,0.37047,1.01956,0.97478,0.97974,0.9911,0.9042,0.87811,0.85587,0.8778,0.73563,0.51491,1.72542,0.04666,0.25524,0.89563,0.002476,0.002476,0.002476
78,25605.9,0.60208,2.51907,0.23141,0.36962,1.02202,0.97497,0.97999,0.99113,0.90407,0.87825,0.85523,0.87809,0.73614,0.51445,1.72215,0.04648,0.25479,0.89538,0.002377,0.002377,0.002377
79,25745.9,0.59691,2.46159,0.22874,0.36809,1.01646,0.97466,0.98014,0.9911,0.90425,0.87869,0.85549,0.87858,0.73729,0.51396,1.71852,0.0463,0.25456,0.89508,0.002278,0.002278,0.002278
80,25887.9,0.59432,2.47511,0.23017,0.36848,1.01881,0.97454,0.98027,0.99111,0.90458,0.87963,0.85584,0.87901,0.73782,0.51356,1.71515,0.04606,0.25435,0.89487,0.002179,0.002179,0.002179
81,26029,0.59066,2.42834,0.22859,0.36312,1.01577,0.97469,0.98037,0.99118,0.90455,0.87938,0.85571,0.87858,0.7388,0.51298,1.71133,0.04593,0.25413,0.89455,0.00208,0.00208,0.00208
82,26155.6,0.59422,2.43583,0.22926,0.36724,1.01678,0.97441,0.9803,0.99116,0.90463,0.87928,0.85574,0.8787,0.73916,0.51245,1.70815,0.04584,0.25391,0.89426,0.001981,0.001981,0.001981
83,26282.3,0.59002,2.41198,0.22698,0.36336,1.01683,0.97441,0.98027,0.99116,0.90488,0.87958,0.856,0.87904,0.7398,0.51197,1.70502,0.0457,0.25355,0.89394,0.001882,0.001882,0.001882
84,26407.4,0.58076,2.37948,0.22609,0.35558,1.01141,0.97445,0.98025,0.99117,0.90495,0.88018,0.85655,0.87939,0.74123,0.51128,1.70195,0.0455,0.25331,0.89353,0.001783,0.001783,0.001783
85,26535.2,0.58639,2.38179,0.22608,0.36041,1.01452,0.97487,0.98037,0.99118,0.9051,0.88075,0.85559,0.87944,0.74194,0.51075,1.69886,0.04539,0.25305,0.89319,0.001684,0.001684,0.001684
86,26672,0.58063,2.3391,0.22341,0.35433,1.01205,0.97491,0.98025,0.99118,0.90521,0.88042,0.85661,0.87947,0.74212,0.51015,1.69594,0.04526,0.2526,0.89287,0.001585,0.001585,0.001585
87,26818.3,0.57428,2.31032,0.22208,0.35309,1.00754,0.97495,0.98025,0.99119,0.90529,0.88015,0.85635,0.8796,0.74263,0.50957,1.69276,0.0451,0.2524,0.8925,0.001486,0.001486,0.001486
88,26959.2,0.57556,2.33086,0.22379,0.35491,1.01149,0.97479,0.98025,0.99121,0.90538,0.88074,0.85625,0.87981,0.74277,0.50892,1.68936,0.04492,0.252,0.89217,0.001387,0.001387,0.001387
89,27102.9,0.57481,2.32908,0.22389,0.35292,1.00818,0.97462,0.98063,0.99121,0.90581,0.88107,0.85702,0.88028,0.74309,0.50829,1.68654,0.04475,0.25173,0.89183,0.001288,0.001288,0.001288
90,27260.3,0.56963,2.27114,0.22236,0.34777,1.00798,0.97383,0.98161,0.99125,0.90597,0.88059,0.85712,0.88049,0.74385,0.50778,1.68374,0.04464,0.25146,0.89156,0.001189,0.001189,0.001189
91,27442.8,0.46395,1.69655,0.07104,0.24961,0.93788,0.97443,0.9811,0.99125,0.90607,0.88071,0.85689,0.88027,0.74426,0.50709,1.68062,0.04419,0.25101,0.89123,0.00109,0.00109,0.00109
92,27599.7,0.45597,1.67018,0.06819,0.2463,0.93506,0.97456,0.98132,0.99125,0.90632,0.88211,0.85791,0.88093,0.74482,0.5062,1.67615,0.04374,0.25054,0.89074,0.000991,0.000991,0.000991
93,27743.6,0.447,1.61986,0.0656,0.24204,0.93149,0.97503,0.98114,0.9913,0.90662,0.88329,0.85918,0.88179,0.74605,0.50513,1.67053,0.0433,0.24997,0.89014,0.000892,0.000892,0.000892
94,27881,0.44285,1.59986,0.06394,0.23817,0.92965,0.97556,0.98179,0.99136,0.90696,0.88384,0.86105,0.88264,0.74761,0.50391,1.66573,0.04287,0.2495,0.88947,0.000793,0.000793,0.000793
95,28017.1,0.44198,1.57168,0.06385,0.2382,0.92766,0.97544,0.98175,0.9914,0.90721,0.88365,0.8614,0.88297,0.74828,0.50278,1.6605,0.04238,0.24881,0.88884,0.000694,0.000694,0.000694
96,28154.1,0.43632,1.54678,0.06327,0.23318,0.92788,0.97477,0.98241,0.99143,0.90785,0.8838,0.86166,0.88333,0.74888,0.50175,1.65547,0.04187,0.24806,0.88832,0.000595,0.000595,0.000595
97,28291.1,0.43069,1.51948,0.06225,0.23035,0.92296,0.97509,0.98229,0.99144,0.90809,0.88346,0.86097,0.88328,0.74963,0.50068,1.65048,0.04137,0.24761,0.88771,0.000496,0.000496,0.000496
98,28429.1,0.42643,1.51206,0.06166,0.22862,0.92041,0.97502,0.98229,0.99143,0.90868,0.883,0.86176,0.88327,0.75029,0.49966,1.64589,0.04085,0.24691,0.88722,0.000397,0.000397,0.000397
99,28567.2,0.42329,1.49376,0.06107,0.22694,0.92094,0.97502,0.98229,0.99146,0.90907,0.88387,0.86173,0.88371,0.75139,0.49853,1.64034,0.0403,0.24635,0.88661,0.000298,0.000298,0.000298
100,28705.8,0.42252,1.47475,0.0598,0.22532,0.92177,0.97491,0.98267,0.99147,0.91014,0.88605,0.86351,0.88507,0.75224,0.49744,1.63494,0.03973,0.24554,0.88603,0.000199,0.000199,0.000199
